2026-07-18T16:37:24+0000 | INFO    | __main__ | [active_learning] round 7 complete: round_best=0.2787, cumulative_best=0.2914
2026-07-18T16:37:31+0000 | INFO    | __main__ | [active_learning] round 8 cand 0: backbone=r8_c0_long_helix_capper n_designs=4 best_score=0.2653
2026-07-18T16:37:37+0000 | INFO    | __main__ | [active_learning] round 8 cand 1: backbone=r8_c1_long_helix_capper n_designs=4 best_score=0.2241
2026-07-18T16:37:41+0000 | INFO    | __main__ | [active_learning] round 8 cand 2: backbone=r8_c2_long_helix_capper n_designs=4 best_score=0.2433
2026-07-18T16:37:45+0000 | INFO    | __main__ | [active_learning] round 8 cand 3: backbone=r8_c3_long_helix_capper n_designs=4 best_score=0.2995
2026-07-18T16:37:50+0000 | INFO    | __main__ | [active_learning] round 8 cand 4: backbone=r8_c4_long_helix_capper n_designs=4 best_score=0.2481
2026-07-18T16:37:55+0000 | INFO    | __main__ | [active_learning] round 8 cand 5: backbone=r8_c5_long_helix_capper n_designs=4 best_score=0.2279
2026-07-18T16:37:59+0000 | INFO    | __main__ | [active_learning] round 8 cand 6: backbone=r8_c6_long_helix_capper n_designs=4 best_score=0.1096
2026-07-18T16:38:04+0000 | INFO    | __main__ | [active_learning] round 8 cand 7: backbone=r8_c7_three_helix_bundle n_designs=4 best_score=0.1497
2026-07-18T16:38:04+0000 | INFO    | __main__ | [active_learning] round 8 complete: round_best=0.2995, cumulative_best=0.2995
2026-07-18T16:38:08+0000 | INFO    | __main__ | [active_learning] round 9 cand 0: backbone=r9_c0_long_helix_capper n_designs=4 best_score=0.2490
2026-07-18T16:38:13+0000 | INFO    | __main__ | [active_learning] round 9 cand 1: backbone=r9_c1_long_helix_capper n_designs=4 best_score=0.2531
2026-07-18T16:38:18+0000 | INFO    | __main__ | [active_learning] round 9 cand 2: backbone=r9_c2_long_helix_capper n_designs=4 best_score=0.2214
2026-07-18T16:38:22+0000 | INFO    | __main__ | [active_learning] round 9 cand 3: backbone=r9_c3_long_helix_capper n_designs=4 best_score=0.2405
2026-07-18T16:38:26+0000 | INFO    | __main__ | [active_learning] round 9 cand 4: backbone=r9_c4_long_helix_capper n_designs=4 best_score=0.2215
2026-07-18T16:38:30+0000 | INFO    | __main__ | [active_learning] round 9 cand 5: backbone=r9_c5_long_helix_capper n_designs=4 best_score=0.2586
2026-07-18T16:38:35+0000 | INFO    | __main__ | [active_learning] round 9 cand 6: backbone=r9_c6_long_helix_capper n_designs=4 best_score=0.2315
